가구번호,지역코드,만족도,지출비용,숙박시설_숙박하지않음,숙박시설_호텔,숙박시설_펜션,숙박시설_민박,여행지선택이유1,여행지선택이유2,여행지선택이유3,활동_자연풍경,활동_음식관광,활동_야외스포츠,활동_휴식휴양,활동_성지순례,활동_갬블링
A00001,932,4,136353.7214,,2,,,3,,,,2,,,,
A00002,934,2,42887.28847,,2,,,1,7,,1,2,,,,
A00003,933,3,160204.3655,,2,,,4,3,,,,3,,,
A00004,932,2,,,,3,,2,14,11,,,,,,
A00005,932,3,80128.69632,1,,,,2,,,,,,,,
A00006,931,3,128080.3052,,2,,,2,5,11,1,2,,,,
A00007,933,4,163065.3009,,2,,,12,4,5,,,,4,,
A00008,934,,140462.657,1,,,,1,2,13,,,,,,6
A00009,933,4,,,,3,,5,6,12,,,,,,
A00010,933,1,49561.75756,1,,,,8,,,,,,,,
A00011,933,3,,1,,,,2,13,5,,,3,,,
A00012,931,3,59021.24289,,2,,,13,6,1,,,,,5,
A00013,932,3,115407.4505,,2,,,1,3,7,,,,,,
A00014,931,4,,,,3,,,2,14,,,,4,,
A00015,931,3,,,2,,,13,1,4,,,,,,
A00016,931,3,104840.3735,1,,,,1,3,5,,2,,,,
A00017,931,4,106738.4913,,2,,,15,2,8,,,,,5,
A00018,933,3,,1,,,,2,5,9,,,,,,
A00019,933,3,100762.192,,,,4,,,,,2,,,,
A00020,936,,49303.05945,1,,,,2,1,5,,,,4,,
A00021,933,4,160516.2577,,,3,,8,1,3,1,,,,,
A00022,931,3,170871.0871,1,,,,1,13,5,,,,,,
A00023,931,3,,,,3,,11,13,,,,3,,,
A00024,934,4,214104.3631,,,,4,13,12,,,,,,,
A00025,931,,274308.2635,,,,4,9,11,13,,,,,,
A00026,933,,153287.0395,1,,,,1,7,13,,,,,,
A00027,931,4,160646.3712,1,,,,2,1,11,,,,,,
A00028,935,3,,1,,,,4,1,,,,3,,,
A00029,931,3,,,2,,,3,1,9,1,,,4,,
A00030,931,,47717.3841,,,3,,1,3,5,,,,,,
A00031,931,4,212489.6723,1,,,,3,4,,1,,,,,
A00032,931,4,133349.2265,1,,,,2,5,3,,2,,,,
A00033,931,,129282.1444,,2,,,3,5,,,,,,,
A00034,931,3,209072.8025,1,,,,14,12,,1,,,,,
A00035,934,3,,,2,,,3,2,6,1,2,,,,
A00036,931,3,54821.31269,1,,,,1,8,7,,,,4,,
A00037,934,3,,,2,,,5,1,,,,,4,,
A00038,931,4,222846.5464,,2,,,12,3,6,,,,,,
A00039,935,1,111778.4785,,2,,,15,3,12,1,2,,,,
A00040,931,1,79473.68591,,2,,,7,14,5,1,,,4,,6
A00041,931,3,178532.189,,,,,7,3,2,,,,,,
A00042,932,4,161214.3749,,,,4,5,2,7,,,3,,,
A00043,934,3,206923.5091,,2,,,2,15,3,,,3,,,
A00044,932,4,167406.6331,1,,,,4,13,,,2,3,4,5,
A00045,932,4,239265.941,1,,,,9,3,13,1,2,,,,
A00046,933,3,,,,3,,13,14,7,1,,,,,
A00047,935,4,143045.6977,,,3,,4,,,,,3,4,,
A00048,935,5,,,,3,,,9,3,1,,,4,,
A00049,933,3,86235.33623,1,,,,13,,3,,2,,4,,
A00050,935,5,250026.2769,,,,4,1,3,6,,,,,,
A00051,932,4,,,2,,,1,13,,,,,,,
A00052,931,1,70468.14035,1,,,,9,6,13,1,,,,,
A00053,933,3,110586.7486,,2,,,1,3,4,,2,,,,
A00054,931,4,171578.5221,,,3,,1,2,12,,,,,,
A00055,932,4,153657.0251,,,,,6,,,,,3,4,,
A00056,932,2,84125.64378,,2,,,12,7,3,,,,,,
A00057,933,3,196541.36,,2,,,5,13,,,,,,,
A00058,935,3,,1,,,,13,9,7,,2,,,,6
A00059,934,2,57960.08965,,2,,,2,3,5,,,,,,
A00060,931,1,56268.66249,1,,,,7,2,3,,,,,,
A00061,934,3,110675.6126,,,,4,3,11,5,,2,3,,,
A00062,931,3,78578.32126,1,,,,1,8,3,,,,,,
A00063,935,2,,1,,,,6,4,8,,,,4,,
A00064,931,4,193561.2195,1,,,,11,15,13,,,,,,
A00065,933,2,91588.66372,,,3,,12,2,6,,,,,,
A00066,931,4,174423.7582,,2,,,1,12,5,,2,,4,,
A00067,933,4,182227.0016,1,,,,2,,,,2,,,,
A00068,934,1,47475.13489,,2,,,13,1,5,,,,,,
A00069,931,3,164797.1308,,,,4,12,4,5,,2,3,,,
A00070,931,4,174458.5902,,2,,,6,2,3,,,,,,
A00071,931,5,288212.4999,1,,,,15,12,5,,,,,,
A00072,931,4,,,,,,1,3,5,,2,,,,
A00073,932,3,161588.9382,,,3,,8,12,2,,2,,,,
A00074,931,3,131565.8896,,,,4,5,14,4,,,,,,
A00075,935,3,112662.8254,,,3,,1,4,12,,,,,5,
A00076,931,5,148538.7597,,,3,,6,7,3,,,,,,
A00077,931,3,120739.0018,,2,,,1,,,,,,4,,
A00078,936,4,207785.3684,,,,4,13,2,,,2,,,5,
A00079,934,2,,1,,,,13,5,4,,2,,,,
A00080,931,3,144118.5204,,,3,,3,8,11,,,3,,,
A00081,936,3,,1,,,,2,1,7,,,,,,
A00082,932,4,183102.8502,,,,,,8,,,2,3,,,
A00083,935,3,143781.5789,,2,,,3,,,,,,4,5,
A00084,936,3,122108.5836,1,,,,12,,,,,3,4,,
A00085,931,2,,1,,,,1,2,3,,,3,,,
A00086,931,4,135895.3127,,,,4,11,2,7,,,,,,
A00087,932,3,150682.0714,,2,,,8,2,4,,,,,,
A00088,931,3,230345.3772,,,,,5,8,,,,,,,6
A00089,932,4,192382.5117,,,,4,15,8,5,,,3,4,,
A00090,933,3,166293.4758,1,,,,9,2,6,,,,,,
A00091,931,,41397.06018,,2,,,6,4,3,1,,,,,
A00092,931,3,86824.55141,1,,,,12,2,4,1,,,,,
A00093,936,,171946.6249,,2,,,13,2,,,,3,,,
A00094,934,1,51720.52909,,2,,,6,13,12,,,,,,
A00095,935,3,119465.0324,,2,,,5,2,,,,,,,
A00096,933,3,117337.3295,,2,,,7,13,6,,,,,,
A00097,934,3,,,2,,,2,13,6,1,,3,,,
A00098,931,3,122086.8435,,2,,,2,1,3,,,,,,
A00099,931,3,66143.49242,1,,,,12,1,7,,,,,,
A00100,931,5,,,2,,,2,4,8,1,,,4,5,
A00101,931,4,151596.4797,,2,,,13,12,3,1,,,,,
A00102,932,4,237793.4919,,,,,1,12,3,1,,3,,,
A00103,932,,,,2,,,12,1,5,,,3,,,
A00104,931,3,155944.3621,,2,,,2,13,5,,,,,5,
A00105,932,5,165653.3624,,,3,,12,4,,,,,4,,6
A00106,934,1,95034.72326,,,3,,1,14,6,,,,,,
A00107,931,3,172320.3783,,,3,,9,8,,,,,,,
A00108,935,5,265758.8512,,,3,,1,,,,2,3,,,
A00109,931,2,75319.57704,1,,,,2,8,,1,,,,,
A00110,935,4,154371.2272,1,,,,3,14,,,,,,,
A00111,931,4,229214.0022,1,,,,1,13,,,,,,,
A00112,931,3,122517.891,,,,,8,5,4,,,3,4,5,
A00113,933,3,107369.264,,2,,,4,1,13,,,,,,
A00114,934,4,153705.8589,,2,,,1,12,,,,3,,5,
A00115,933,3,,,2,,,9,3,1,,,3,4,,
A00116,932,,181014.8964,,2,,,,11,13,,,,,,
A00117,934,5,239934.5431,,,,,2,,13,1,,,,,
A00118,931,4,86177.0228,,,3,,12,3,7,,,,,,
A00119,931,3,178221.5125,,2,,,2,,,,,,,,
A00120,936,3,96688.20112,1,,,,7,,,,2,,,,
A00121,935,3,150237.3062,,,,,1,,,1,,,,,
A00122,932,2,92169.628,,2,,,5,8,15,,,,4,5,
A00123,931,3,103645.5331,,,3,,12,2,8,,,,,,
A00124,931,4,,,2,,,1,7,,,,3,,,
A00125,934,4,,1,,,,9,7,3,,,,,,
A00126,934,3,109936.7977,1,,,,2,15,,,2,3,,5,
A00127,931,,75197.78049,,,3,,5,,,,,,4,,
A00128,934,3,94100.74924,1,,,,13,1,2,,2,,,,
A00129,932,,153826.7802,,2,,,5,13,11,1,,,4,5,
A00130,931,3,120145.7997,,2,,,8,12,3,,2,,,,
A00131,931,3,79431.65828,1,,,,14,3,,,,,,,
A00132,932,3,137555.0968,1,,,,2,5,13,,2,,4,,
A00133,934,3,115610.9559,,2,,,5,7,,,,3,,,
A00134,934,2,71908.80011,,,3,,15,,,,2,,,,
A00135,932,3,130971.1759,,2,,,12,3,2,,,3,,,
A00136,933,,207684.8519,,,3,,1,,,,,3,,,
A00137,931,2,96073.02872,,2,,,3,2,5,,2,,4,,
A00138,932,4,115236.4558,,,3,,5,1,,1,,3,,,
A00139,933,3,120457.3911,,,3,,13,,,,,,4,,
A00140,934,2,49037.30037,,,3,,6,12,3,,,,,,
A00141,931,3,,,,3,,13,2,7,,,3,,,
A00142,934,3,197128.4604,,,3,,9,3,12,,,,,,
A00143,935,3,148255.4133,1,,,,15,3,,,,3,,,
A00144,932,4,190471.7562,1,,,,12,,,,2,3,4,,
A00145,931,3,216315.6166,,,3,,,,,,,3,,,
A00146,932,3,148063.4063,,,3,,,,,,,,,,
A00147,931,1,99246.86383,1,,,,15,6,3,,,,,,
A00148,931,,44736.14421,,,3,,9,13,8,,,,4,,
A00149,932,3,67522.08751,,2,,,14,3,13,,,,4,,
A00150,931,4,210754.106,1,,,,,1,,,,3,4,,
A00151,931,3,81760.53114,,2,,,2,,,,,,,,
A00152,936,5,,,2,,,7,14,11,,2,,,,
A00153,935,5,224121.1426,,,3,,6,2,7,,,,,5,
A00154,931,3,118534.8201,,,3,,9,4,,,2,,4,,
A00155,934,3,154700.0229,,2,,,9,7,5,,,3,,,
A00156,931,3,184013.8611,,,,,13,15,5,,,3,,,
A00157,933,,127699.1053,,,3,,,,,,,,,,
A00158,932,4,,,,,,2,4,8,1,,,,5,
A00159,932,4,127933.6032,,2,,,1,5,4,,,,,,6
A00160,931,3,154814.8917,1,,,,1,2,8,,2,3,,,
A00161,934,1,107730.4569,,,3,,4,11,12,,,,,,
A00162,935,,75578.96512,,2,,,9,5,3,,,,4,,
A00163,931,2,89206.28753,,,,,2,11,5,,,,,,
A00164,934,4,205165.9057,,,,,9,1,4,1,,,,,
A00165,931,3,,,2,,,9,3,,,,,,,
A00166,933,3,93538.2512,1,,,,2,4,,1,,,4,,
A00167,932,2,133446.912,,2,,,14,1,8,1,,,,,
A00168,935,3,166123.123,1,,,,8,13,,,,,,,
A00169,931,1,48321.48575,,,,4,9,6,11,,,,,,
A00170,932,2,95862.46007,,,,,2,13,,1,,,,,
A00171,931,,93249.48944,,2,,,2,15,7,,,3,,,
A00172,931,,75734.67644,,2,,,2,12,11,,,,,,
A00173,934,3,109251.9905,,2,,,7,13,5,,,,,,
A00174,934,3,152408.0037,,,,4,5,6,14,,,,,,
A00175,931,2,128474.4258,1,,,,2,1,8,,,3,,,
A00176,931,5,,,,,,1,8,4,,,3,,,
A00177,932,3,215074.497,1,,,,7,1,10,,,,,,
A00178,932,3,210474.8116,,,,,13,3,7,,,,,,
A00179,931,2,58831.17373,,,,,2,,,,,,,,
A00180,931,3,145517.0135,,,,,1,14,5,,,,,,
A00181,932,3,,,2,,,2,5,,1,,,,,
A00182,931,4,248304.12,,2,,,3,2,5,1,,,,5,
A00183,935,2,51911.11981,,2,,,3,,,,,3,,5,
A00184,931,4,221774.8841,,2,,,,3,5,,,,,,
A00185,931,1,50408.24502,,,3,,2,,,1,,,,,
A00186,933,3,104479.7649,,,,,2,,,,2,,,,6
A00187,934,3,,,,,4,5,2,,,,3,4,,
A00188,934,2,114280.5989,,2,,,4,10,5,,,,,,
A00189,931,3,163800.1744,1,,,,11,13,5,1,,,,,
A00190,932,1,,1,,,,2,5,3,,,,,,
A00191,931,4,192130.449,,2,,,9,,,,2,3,,,
A00192,931,2,133915.4678,,,3,,1,,,,,,,,
A00193,931,1,109437.113,,2,,,,,,1,,,,,
A00194,931,4,228025.7965,,2,,,3,12,2,1,,,,,
A00195,931,2,53634.34721,,2,,,12,11,3,,2,,,5,6
A00196,932,3,121894.277,,,3,,2,15,5,,,,4,,
A00197,934,3,,1,,,,9,2,13,,2,,,,
A00198,934,4,204536.9229,1,,,,1,2,10,1,,,4,,
A00199,934,3,111478.1288,,2,,,13,2,8,,,,4,,
A00200,932,3,120858.6624,,2,,,13,3,2,,,3,,,
A00201,933,,142561.0943,1,,,,11,2,8,,,,4,5,
A00202,931,3,,1,,,,9,3,15,,2,3,,,
A00203,931,5,323487.242,,2,,,13,5,8,1,,,4,,
A00204,931,2,93801.27953,,2,,,12,5,2,,2,,,,
A00205,931,3,110258.8404,1,,,,2,11,,1,,,,,
A00206,936,2,133840.2937,,,,4,5,4,,,,,4,5,
A00207,935,,121303.9683,,2,,,2,,,1,2,,,,
A00208,934,3,167396.918,1,,,,3,8,5,1,,,,,
A00209,932,1,,,2,,,5,7,,,2,,,,
A00210,935,,180237.6011,,2,,,1,13,14,,2,,4,,
A00211,931,1,68675.58595,1,,,,13,,,,,,,,
A00212,932,3,89170.06191,1,,,,6,2,14,,,,,,
A00213,931,4,184935.0887,1,,,,7,3,11,,,,4,,
A00214,934,3,114215.9728,1,,,,15,8,4,,,3,,,
A00215,933,3,55778.88745,,,,,15,12,5,,,,,,
A00216,931,2,46965.92302,,2,,,12,2,,,,,4,,
A00217,932,4,198391.6588,,,,4,1,13,5,1,,,4,,
A00218,931,3,125978.1172,1,,,,,13,6,,,,,5,
A00219,931,4,158907.3928,,,,4,5,,,,2,3,,5,
A00220,931,3,107401.9546,1,,,,7,15,5,,,,,5,
A00221,931,3,,,2,,,13,9,7,,,,,,
