V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363
31,1,1,1953,2012,4,,1,1,1,2000,2,47,0,564,18,5.95E+01,2,,,,2012,2,50000,20000,20000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,3,1,0,18,5.95E+01,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,3,3,3,4,4,1,4,4,50,1,,1,1,2,3,30,9.92E+01,2,,8,11,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,2,,,2,,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,2,,,,,,,,,,1929,1940,,,,,,,,,,94,83,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,15,48,0,63,,0,150,18,15,16,1.63E+01,0,2,50000,50000,100,0,50100,2,,,,,3,2,,,,,3,,,,,,,,,,,,,,,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,,,,,,,,380.96161
31,1,1,1959,1997,6,,1,1,1,1961,2,2,5,29,15,4.96E+01,2,,,,1997,2,12000,5000,5000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,2,1,0,13,4.30E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,,,,,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,1,3,,,,,,,,,,,2,,2,7,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,2,,,2,,,2,,,1,1,3,2,,,2,,,,,,,2,1,2,,,,,,,,,,1933,1940,,,,,,,,,,90,83,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,1,1,2,3,,0,0,0,40,30,70,,0,50,10,8,8,8.67E+00,0,3,12000,12000,6000,0,18000,2,,,,,1,2,,,,,3,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,6,,,,,,,,353.13261
31,1,1,1961,2003,4,,1,1,1,1970,2,9,0,108,4,1.32E+01,2,,,,2003,2,60000,13000,13000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,3,1,0,26,8.60E+01,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,6,,,,,,,,,,,2,,9,11,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,2,1,,,,,,,,,,,1933,,,,,,,,,,,90,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,2,,,,,0,0,300,0,0,300,,0,150,30,20,25,2.50E+01,0,2,60000,60000,2000,0,62000,2,,,,,3,2,,,,,4,,,,,,,,,,,,,,,1,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,,,,,,,,546.25527
31,1,1,1962,2004,4,,1,1,1,1972,2,10,0,120,30,9.92E+01,2,,,,2004,2,35000,12000,8000,4000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,,3,1,0,25,8.26E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,2,3,3,3,1,5,,,,,,,,,,,2,,7,13,,,,,,,,,,,1,1,3,,,,,2,,,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,,,,,1,1,2,,,,,,,,,,1938,1942,,,,,,,,,,85,81,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,0,50,50,100,,0,100,30,20,20,2.33E+01,10,3,35000,35000,0,0,35000,1,7000,0,0,7000,2,2,,,,,3,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,,,,,,,,373.56166
31,1,1,1963,2017,2,,2,3,2,,,,,,,,2,59,0,708,,,,,,,,,1,,,,500,30,,500,30,,2,,,,,,,,,,,,,,2,,,,,500,0,0,0,3,2,3,3,5,,,,,,1,6,2,,2,1,0,12,3.97E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,,,,,2,2,3,2,2,2,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,6,9,89,2,,3,1,2,2,12,3.97E+01,1,1,3,5,,4,6,,9,89,2,,3,2,2,,,,1,3,,1,8,6,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,3,2,,,2,,,2,,,,,,,1,1,2,,,,,,,,,,1939,1946,,,,,,,,,,84,77,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,1,1,2,3,,0,0,0,100,0,100,,80,100,12,8,5,8.33E+00,0,2,0,0,800,0,800,2,,,,,1,2,,,,,3,,,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,,,,,,,,344.93962
31,1,1,1965,2007,4,,1,1,1,1992,2,27,8,332,25,8.26E+01,2,,,,2007,2,30000,15000,15000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,3,1,0,25,8.26E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3,9,99,1,,1,1,2,3,25,8.26E+01,2,,7,8,,,,,,,,,,,1,2,3,,,,,1,4,8,,2,,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,,,,,2,1,2,3,,,,,,,,,1939,1947,1974,,,,,,,,,84,76,49,,,,,,,,,1,2,1,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,4,4,4,,,,,,,,,3,2,,2,,,,,300,0,0,49,20,369,,0,200,23,20,18,2.03E+01,10,1,30000,30000,12000,0,42000,2,,,,,1,2,,,,,4,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,364.19122
31,1,1,1965,2019,2,,1,1,1,1974,2,9,9,117,18,5.95E+01,2,,,,2019,2,25000,18000,18000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,2,1,0,16,5.29E+01,36,1.19E+02,22,7.27E+01,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,,,,,3,2,1,2,2,3,,2,3,3,3,3,3,3,3,4,3,1,3,3,3,3,3,4,4,3,3,1,4,9,86,2,,1,1,2,3,24,7.93E+01,2,,3,6,,,,,,,,,,,1,2,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,,,,,,,,,,,1941,,,,,,,,,,,82,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,2,,,,,0,0,0,24,40,64,,0,60,8,5,5,6.00E+00,0,1,25000,25000,3000,100,28100,1,0,0,8000,8000,1,2,,,,,4,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,466.3752
31,1,1,1965,2020,4,,1,2,2,,,,,,,,2,57,0,684,,,,,,,,,1,,,,15000,,15000,,,,2,,,,,,,,,,,,,,1,500,,,,15000,0,0,0,3,3,3,3,1,,,,,,,8,2,,2,1,0,15.1,4.99E+01,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,2,1,5,9,78,4,,2,1,2,1,13,4.30E+01,2,,4,5,,,,,,,,,,,2,,,,3,2,,1,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,,,,,1,1,,,,,,,,,,,1934,,,,,,,,,,,89,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,2,,,,,0,0,0,30,60,90,,0,80,13,10,10,1.10E+01,0,2,0,0,15150,60,15210,2,,,,,2,2,,,,,4,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,,,,,,,,233.09119
31,1,1,1965,2020,8,,1,1,1,1995,2,30,5,365,18,5.95E+01,2,,,,2020,2,9999999,27500,27500,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,3,1,0,17,5.62E+01,,,,,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,3,3,3,2,3,3,2,3,3,3,3,3,1,3,9,85,1,,1,1,2,3,18,5.95E+01,2,,2,7,,,,,,,,,,,1,1,3,,,,,2,,,,2,,,1,2,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,2,3,,,,,,,,,1938,1942,1966,,,,,,,,,85,81,57,,,,,,,,,1,2,1,,,,,,,,,1,1,1,,,,,,,,,1,1,1,,,,,,,,,3,4,4,,,,,,,,,3,2,,2,,,,,120,0,0,48,20,188,,4500,150,16,11,12,1.30E+01,0,2,9999999,9999999,4500,0,9999999,2,,,,,2,2,,,,,3,,,,,,,,,,,,,,,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,,,,,,,,296.83967
31,1,1,1968,1986,5,,1,1,1,1986,2,18,0,216,20,6.61E+01,2,,,,1986,1,16000,5000,5000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,3,1,0,20,6.61E+01,,,,,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,2,,,,,,,,,,,2,,2,7,,,,,,,,,,,1,1,2,,,,,2,,,,2,,,1,2,,1,2,,1,2,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,2,1,2,,,,,,,,,,1942,1943,,,,,,,,,,81,80,,,,,,,,,,1,2,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,4,4,,,,,,,,,,2,2,,2,,,,,0,0,50,30,20,100,,0,60,12,5,5,7.33E+00,0,2,16000,16000,6000,0,22000,2,,,,,1,2,,,,,3,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,,,,,,,,,131.49508
