donation,gender,age,edu,spouse,housing,nfamily,inc
360000,1,61,4,2,31,63,678
10000,1,14,2,1,31,63,678
300000,2,57,7,2,32,64,678
180000,2,24,5,1,32,64,678
80000,2,40,7,2,31,62,678
60000,1,41,7,2,31,62,678
100000,2,39,5,2,32,64,678
480000,1,45,3,2,31,64,660
480000,2,44,5,2,31,64,660
120000,1,47,5,2,31,64,678
440000,2,46,5,2,31,64,678
1000000,2,45,5,1,33,61,660
50000,1,35,4,2,31,63,678
50000,2,28,3,2,31,63,678
240000,1,54,4,2,33,61,660
120000,2,36,4,2,32,63,640
10000,1,32,5,2,31,63,678
240000,1,37,5,2,31,63,660
60000,1,50,4,2,31,63,678
240000,2,38,4,2,31,62,678
300000,2,68,2,2,31,62,650
480000,1,70,3,2,31,62,620
240000,1,50,5,2,32,62,640
240000,2,49,5,2,32,62,640
360000,1,43,6,2,31,64,678
360000,2,39,5,2,31,64,678
126000,2,56,5,3,33,63,620
720000,1,57,5,2,31,62,620
240000,1,46,4,2,33,61,660
10000,2,71,1,3,32,61,610
10000,2,16,3,1,31,64,640
500000,2,61,6,5,32,62,640
360000,1,63,3,2,31,64,620
360000,2,61,3,2,31,64,620
100000,2,29,5,1,31,64,650
200000,1,57,4,2,31,61,650
240000,1,50,4,2,31,63,678
400000,2,52,3,2,31,63,678
15000,1,64,2,2,31,63,650
15000,2,59,2,2,31,63,650
120000,1,51,5,2,31,64,630
360000,2,66,2,2,31,62,678
120000,2,68,2,5,35,61,610
480000,2,61,1,2,35,63,678
300000,2,56,6,2,31,62,650
360000,1,49,5,2,32,64,660
360000,2,46,3,2,32,64,660
120000,2,40,4,2,31,64,640
500000,1,51,7,2,31,63,678
50000,2,50,5,2,31,63,678
120000,1,13,2,1,31,63,678
360000,1,51,7,2,32,64,678
180000,2,52,4,2,32,64,678
600000,1,42,4,2,31,64,678
3600000,2,39,6,2,31,64,678
240000,2,50,4,2,32,62,678
240000,1,41,4,2,32,64,660
1200000,1,49,5,2,33,64,640
360000,2,39,3,5,32,64,630
60000,2,28,5,1,31,64,678
50000,1,17,3,1,33,63,640
100000,1,44,5,2,32,64,640
600000,2,43,5,2,31,63,678
360000,1,44,5,2,31,64,678
360000,2,43,5,2,31,64,678
60000,2,34,3,2,31,63,630
20000,1,33,5,2,31,62,678
400000,2,36,5,2,31,62,678
150000,1,32,4,2,33,63,678
150000,2,31,5,2,33,63,678
240000,2,31,5,2,31,63,660
300000,1,54,5,2,31,61,650
360000,1,40,6,1,32,61,640
120000,1,45,3,2,31,64,630
10000,2,48,4,2,31,63,640
200000,1,57,6,2,31,63,678
360000,1,50,3,2,31,63,678
120000,2,43,3,2,31,63,678
120000,2,60,3,2,31,62,660
120000,1,48,4,2,31,64,640
240000,2,44,3,2,31,64,640
240000,2,50,3,2,31,64,640
30000,2,31,4,2,32,64,650
120000,2,52,5,2,31,63,630
240000,1,60,3,2,31,62,640
10000,2,70,2,5,35,61,610
10000,1,46,3,2,31,64,678
10000,1,40,3,2,31,64,678
360000,1,35,4,2,31,64,640
360000,2,34,4,2,31,64,640
10000,1,24,4,1,35,61,630
200000,2,54,3,2,32,63,640
360000,2,54,5,2,32,64,678
360000,2,21,5,1,32,64,678
100000,2,51,5,2,31,63,640
120000,2,21,5,1,31,64,678
360000,2,35,3,1,31,61,678
3600000,1,45,4,2,32,63,640
20000,2,55,3,4,31,62,620
360000,1,34,6,2,31,63,660
30000,2,64,3,2,31,64,660
300000,2,35,5,1,31,64,660
300000,1,62,5,2,31,62,650
480000,2,62,3,2,31,62,650
10000,2,57,6,2,31,61,640
120000,2,60,3,2,31,63,660
120000,2,29,5,1,31,63,660
120000,1,51,3,2,33,61,640
50000,1,41,3,4,33,61,620
120000,1,44,5,1,31,62,610
30000,2,46,3,4,33,61,640
720000,1,89,4,2,31,63,678
720000,2,79,3,2,31,63,678
20000,1,58,5,2,31,64,678
3000,2,24,5,1,31,64,630
360000,2,49,5,2,31,62,678
1450000,2,57,6,1,34,61,630
120000,1,30,5,1,32,61,640
50000,1,60,4,2,31,63,650
600000,1,64,7,2,32,62,678
30000,1,53,3,2,31,64,678
140000,2,55,4,2,35,63,678
100000,1,52,6,2,35,64,640
500000,2,49,5,2,35,64,640
360000,2,25,5,1,35,64,640
500000,1,51,7,2,35,63,678
50000,2,50,5,2,32,62,678
780000,2,45,5,2,32,64,678
120000,2,17,3,1,32,64,678
360000,1,51,6,2,32,62,660
240000,1,52,6,2,35,62,678
120000,2,49,5,2,32,64,678
240000,1,37,4,1,32,61,640
480000,2,49,3,4,31,62,610
10000,2,16,3,1,32,64,640
10000,2,14,2,1,32,64,640
80000,1,13,2,1,32,63,640
120000,1,62,3,4,32,63,640
120000,1,49,3,2,31,64,650
1000000,2,55,4,2,31,64,650
10000,2,47,3,2,31,64,650
50000,1,53,3,2,31,64,620
120000,2,51,4,2,32,64,620
100000,1,23,5,1,34,61,610
60000,1,52,5,4,31,61,678
5000,1,23,5,1,31,64,678
240000,2,65,2,2,31,61,630
290000,1,66,3,2,31,62,640
120000,2,69,2,2,31,62,620
360000,1,50,3,2,31,64,650
360000,2,47,3,2,31,64,650
200000,1,21,5,1,31,63,678
100000,2,43,5,2,31,64,640
60000,1,66,3,2,31,62,640
60000,2,58,3,2,31,62,640
100000,1,42,5,2,31,64,660
120000,2,42,6,2,31,64,660
70000,2,25,3,1,31,63,650
24000,2,47,3,2,31,63,660
200000,2,26,5,1,33,61,630
20000,1,27,3,1,33,61,620
120000,2,48,3,4,31,62,620
50000,1,59,6,2,31,62,678
100000,2,37,5,2,31,64,678
240000,1,74,3,2,31,62,630
600000,1,49,3,2,31,64,678
360000,2,47,3,2,31,64,678
3000000,1,60,5,2,31,62,660
250000,2,71,1,5,31,61,610
360000,1,73,3,2,31,62,620
120000,2,72,3,2,31,62,620
240000,2,60,3,2,31,62,650
1200000,1,48,3,2,32,64,640
240000,2,57,4,2,31,62,660
10000,1,57,2,2,31,62,620
10000,2,50,3,2,31,62,620
40000,2,56,6,2,31,64,678
360000,2,19,4,1,31,64,678
50000,1,55,6,2,35,64,678
1200000,1,66,6,2,33,61,640
360000,1,46,5,2,31,64,678
360000,2,45,4,2,31,64,678
480000,2,43,5,2,31,63,660
360000,1,49,6,2,31,64,650
20000,1,53,4,2,31,63,660
30000,2,40,3,2,32,64,620
480000,2,58,3,2,31,62,650
120000,1,48,5,2,32,61,650
240000,1,47,5,2,33,62,650
360000,2,43,5,2,33,62,650
50000,2,35,5,2,31,63,640
500000,1,37,6,1,33,61,678
1200000,2,54,5,2,31,63,678
360000,1,36,5,1,31,62,660
500000,2,40,7,2,31,64,678
240000,2,40,5,2,31,62,630
240000,2,31,5,2,31,62,640
500000,1,53,4,2,31,62,678
1300000,2,42,5,2,31,64,640
1200000,1,53,3,2,31,63,678
60000,1,25,5,1,31,63,678
120000,1,43,6,1,31,61,640
100000,1,31,5,1,33,61,610
40000,1,47,3,1,31,62,650
360000,2,48,3,2,31,62,630
120000,2,59,2,4,33,62,620
360000,1,46,6,2,31,64,660
600000,2,44,6,2,31,64,660
360000,1,83,4,5,31,61,610
360000,2,38,3,2,31,64,640
360000,1,25,5,1,33,61,610
320000,1,50,7,2,31,64,678
960000,2,48,4,2,31,64,678
100000,2,51,4,2,31,62,640
720000,2,45,3,2,31,63,660
360000,1,19,4,1,31,63,660
50000,2,50,3,2,31,64,678
360000,1,64,5,2,31,62,630
360000,2,63,3,2,31,62,630
120000,1,60,4,2,31,62,678
360000,2,58,3,2,31,62,678
10000,1,54,3,2,31,63,640
10000,2,13,2,1,31,64,650
1200000,1,36,5,2,31,63,650
360000,1,76,5,2,31,62,660
360000,2,67,4,2,31,62,660
40000,2,38,3,2,31,62,650
120000,1,38,7,2,31,64,678
120000,2,36,6,2,31,64,678
360000,1,47,6,2,31,64,678
240000,2,47,5,2,31,64,678
120000,1,44,7,2,31,63,678
200000,1,43,4,2,32,64,678
360000,1,42,5,2,31,64,678
360000,2,42,5,2,31,64,678
240000,2,43,5,2,31,63,660
240000,1,45,4,2,31,64,640
300000,1,37,5,2,31,62,650
120000,2,53,7,2,31,62,660
120000,2,59,5,2,31,63,650
50000,2,45,4,2,32,64,630
10000,1,24,5,1,33,61,630
20000,1,61,4,2,31,64,678
10000,2,55,6,2,31,64,678
120000,1,58,3,2,31,62,630
240000,1,42,5,2,31,64,678
240000,2,41,4,2,31,64,678
840000,2,47,5,2,31,63,678
100000,1,58,3,2,31,63,650
240000,1,46,4,2,31,64,678
240000,2,43,4,2,31,64,678
120000,2,64,3,2,31,64,678
240000,2,70,4,2,31,63,678
120000,1,39,5,1,31,63,678
100000,1,51,7,2,31,64,678
120000,2,45,4,2,31,64,678
120000,2,16,3,1,31,64,678
3000000,2,54,6,2,31,63,678
120000,1,69,2,2,31,62,640
120000,2,49,3,2,31,64,650
200000,2,24,5,1,31,64,650
120000,2,36,6,2,31,64,678
120000,2,47,3,2,31,64,620
240000,2,34,5,2,31,64,678
30000,1,48,4,2,32,64,678
120000,2,45,5,2,32,64,678
200000,1,39,5,2,32,63,678
1200000,1,43,5,1,31,63,630
1050000,1,39,4,1,33,61,630
100000,1,35,6,2,31,64,678
150000,2,32,6,2,31,64,678
125000,1,69,3,2,31,62,630
50000,1,44,5,2,31,63,660
1000000,2,40,3,2,31,63,660
10000,2,70,3,5,31,64,620
200000,1,64,3,2,31,63,678
30006,1,33,5,1,31,61,678
120000,2,31,5,2,32,62,650
360000,2,31,5,2,33,64,640
20000,2,13,2,1,33,62,620
240000,2,27,4,1,33,62,620
30000,1,44,4,2,31,63,660
120000,1,27,5,1,33,61,630
50000,2,41,4,2,32,63,650
30000,1,13,2,1,32,63,650
240000,1,56,5,2,35,64,678
360000,1,16,3,1,31,64,678
240000,1,51,4,2,31,63,660
290000,2,49,3,2,31,63,660
500000,1,56,5,2,31,62,678
2680000,2,56,6,2,31,62,678
1440000,2,62,4,2,31,63,640
840000,1,36,5,1,31,63,640
120000,2,46,5,2,31,63,650
10000,2,41,3,2,31,64,640
36000,1,23,3,1,31,62,640
500000,2,47,4,2,32,64,660
60000,1,14,2,1,32,64,660
60000,1,41,5,2,31,64,660
30000,2,40,5,2,31,64,660
240000,1,55,5,2,31,64,660
160000,2,52,5,2,31,64,660
240000,2,51,4,5,31,62,620
1200000,1,59,2,2,31,62,678
1200000,2,56,2,2,31,62,678
250000,1,56,3,2,31,63,630
720000,2,53,3,2,31,63,630
240000,1,50,3,2,31,62,678
240000,2,46,3,2,31,62,678
200000,1,73,6,2,31,62,678
20000,2,55,4,2,31,64,650
20000,1,62,1,2,31,62,660
130000,2,15,2,1,31,64,650
40000,1,59,3,2,31,62,678
600000,1,17,3,1,31,63,650
10000,2,16,3,1,33,64,620
360000,1,79,2,2,31,64,678
100000,1,85,3,5,31,62,640
40000,1,56,5,2,33,61,678
300000,2,60,6,2,31,62,678
240000,2,31,4,1,33,61,630
60000,1,76,2,2,31,62,620
240000,1,59,3,2,31,63,678
