Code,involve,exhaust,gender,age,money,partjob,gpa,circle
10001,2.25,1.75,1,26,4,2,4,1
10002,3.75,2,1,26,3,2,4,0
10003,2.5,2,1,25,4,2,4,0
10004,2.5,2.25,1,26,3,1,3,1
10005,2,3.5,1,24,3,2,3,0
10006,3.25,2.25,0,24,4,2,4,1
10007,2.75,2.5,1,25,4,2,3,1
10008,3,2.5,0,21,6,1,3,1
10009,4.25,2.25,0,25,4,2,4,1
10010,3,2.75,1,26,5,2,5,0
10011,3,2.75,1,21,4,2,3,1
10012,2.75,3,1,22,4,2,3,1
10013,2,3,1,24,5,2,4,1
10014,2.25,2.75,1,23,4,2,4,1
10015,2.25,2.25,1,23,4,2,3,1
10016,2.75,2.5,1,22,5,2,3,1
10017,3.5,3.25,1,20,5,2,2,1
10018,3.5,2.25,1,19,4,2,4,1
10019,3.25,2.5,1,20,3,1,3,1
10020,2.75,2,1,21,4,2,2,1
10021,2.5,4,1,24,4,1,1,1
10022,1.25,3,0,21,4,1,4,0
10023,4.5,2.75,1,25,5,1,4,1
10024,1.5,2.5,1,24,3,1,3,1
10025,2.25,2.75,1,21,4,1,1,0
10026,1.25,2.75,0,22,3,2,2,0
10027,2.25,2.5,1,24,4,1,3,1
10028,2.5,2.75,1,23,5,2,2,1
10029,2.75,3,0,24,4,2,2,0
10030,1.5,4,0,22,4,2,4,1
10031,2.75,3.5,1,24,3,2,3,0
10032,3.25,2,1,24,3,2,3,0
10033,3,2.75,1,24,4,2,4,0
10034,3.25,2.25,1,25,4,2,4,0
10035,3.75,2.25,1,24,3,2,4,0
10036,3.25,3.25,1,21,4,2,2,0
10037,1.75,2.25,1,23,4,2,4,1
10038,2.75,3,1,23,4,2,3,0
10039,3.5,1.75,1,24,3,1,4,0
10040,4,2,1,23,3,1,4,0
10041,1.5,3,1,21,5,2,1,0
10042,1.5,3.5,1,20,2,2,3,0
10043,1,4,0,21,4,1,2,1
10044,2.5,2.25,1,20,5,1,1,1
10045,2.5,2.5,0,21,4,2,4,1
10046,1.5,3,1,20,3,2,2,0
10047,2,3.5,0,21,3,2,4,1
10048,3.25,3.5,1,24,5,2,5,0
10049,3.25,3,1,20,3,2,3,1
10050,2.5,3,0,21,5,2,3,1
10051,1,3.5,0,20,6,1,4,0
10052,3.25,2.5,1,26,7,2,2,1
10053,2.75,4.5,0,20,3,1,3,0
10054,3.5,2.75,0,20,3,1,3,1
10055,2.75,2.75,1,25,6,2,3,0
10056,2.75,3,0,21,4,2,3,1
10057,2.5,2.25,1,24,4,2,4,1
10058,1.25,4.75,0,21,4,2,1,0
10059,1.25,3.25,0,22,4,2,3,0
10060,2.25,2.25,0,23,5,1,4,0
10061,2.25,2.75,0,22,3,2,2,0
10062,3.25,2,1,25,5,2,4,1
