INDEX,성별_남1,결혼_기혼1,연령,근무년수,직위,교육수준,이직의도,개인적배려,카리스마,지적자극,직무스트레스,감정노동,직무만족,직업의식
A001,0,1,34,1,2,2,3,3,4,4.25,4,2.4,3,2.8
A002,0,0,23,2,2,3,3.8,2,3.25,3.25,3.25,2.6,3.25,2.2
A003,0,1,46,1,3,2,3.4,2.5,2.75,3,2.75,3.2,3.75,3.8
A004,0,0,37,2,2,4,3,1.75,4,3.5,3.5,2.8,2.75,3.4
A005,0,1,44,1,2,2,3.4,2.25,3,3.5,3.25,3.2,3.5,3.2
A006,0,0,34,3,2,2,2.6,2.25,4,3.75,4,3,3.75,3
A007,0,1,39,3,3,4,2.8,2.5,3.75,4,4,2.4,3.75,3.6
A008,0,1,35,5,3,2,4,2,3.25,3,3,3.8,3.75,2.8
A009,0,1,36,4,2,3,3,2.75,3.5,4,4,2.8,3,3
A010,0,1,36,3,3,3,3.4,2,3.75,3.75,3.5,4,4.25,2.6
A011,0,1,47,6,4,3,2.8,2.25,2.5,4,3.75,3,3.5,3.6
A012,0,0,36,5,2,4,3.4,2.25,3.5,3.75,3,3,4,3.4
A013,0,1,35,4,2,2,2.6,3.5,3,3.5,3.25,3.6,4,3.6
A014,0,0,35,4,3,2,3.2,2.25,3.5,3.75,3.25,2.2,2.75,3.6
A015,0,0,32,2,2,3,4.4,1.25,2.25,2.75,2.75,3,4.5,1.8
A016,0,0,34,5,3,2,3.8,1.5,3,3,3,3.8,4.75,3
A017,0,0,44,3,3,3,3,2,3.5,3.25,3.5,2.4,2.5,3
A018,0,0,35,2,2,3,3.8,1.75,4,4,4,2.8,3,3
A019,0,0,35,2,2,4,3,2,5,4.75,5,2,5,2.4
A020,0,0,27,1,2,2,3,3,4,4,4,2.8,3,3
A021,0,0,32,1,1,3,3,2.25,4.25,4,4.25,2.4,2.75,2.6
A022,0,1,42,1,2,2,4,2.25,3,3,3,2.8,3,2
A023,0,1,42,3,3,2,3.2,2.25,3.5,3,3.75,1.8,3.25,3
A024,0,1,52,6,3,2,2.6,3,4,4.25,4.25,3.2,3.5,3.8
A025,0,1,42,2,3,2,3.6,2,3.5,3.5,3.5,2.8,3.25,3.2
A026,0,0,38,4,2,4,3,2.75,2.5,3,2.75,3.2,3.5,2.6
A027,0,1,33,1,1,4,3.2,2.25,3.5,3,3.5,2.8,3.25,4
A028,0,0,40,3,3,2,4,1,2.75,2.75,3.5,4.4,5,3
A029,0,0,25,1,3,3,3,3,3,3.75,3.5,2.2,3.5,3.2
A030,0,0,23,1,2,2,3,2.25,4,3,3.25,3.6,3.5,2.4
A031,0,1,49,2,2,2,2.6,3.25,3.25,3.75,2.75,2,3.75,4
A032,0,1,49,6,4,2,1.6,3,3.75,3.25,4,3.2,2.75,4
A033,0,1,46,6,2,2,1.2,4,3.75,4.25,3.5,1.6,1,4.2
A034,0,1,51,6,3,2,3,2.75,3.5,3.75,3.25,2.6,3.75,4
A035,0,0,41,1,2,2,2,4,3.75,5,3.5,2,2,5
A036,0,0,27,1,2,3,3.2,2.5,4,4,3.5,2,1.75,3.6
A037,0,1,43,6,4,4,2.4,3.5,4.5,4.75,5,1,3.75,3.8
A038,0,1,38,2,2,4,4.6,1,1.25,2.75,1,1.8,3,3.6
A039,0,0,48,5,2,3,3.2,2.75,3.25,3.5,3.25,3.6,4.5,3.4
A040,0,1,28,5,2,4,3.2,2.75,4.5,5,4,2.2,4.5,2.2
A041,0,0,42,4,3,2,2,3,4,4,3.75,1.8,2.25,3.4
A042,0,0,26,1,2,4,2,4,4,4,4,2.2,2,4.8
A043,0,1,48,6,3,2,2.2,1.75,4,4,4,2.4,3,4.2
A044,0,1,35,3,4,4,3.2,3,2.5,2,2,2.4,2.75,3.4
A045,0,0,41,6,4,2,3.6,3,2.25,2,2,3.2,2.75,3
A046,0,1,46,6,4,2,2.6,2.5,2.25,2.5,2.75,3,3.25,3.2
A047,0,1,47,6,4,4,2.6,1.75,3.25,3,3,3.8,4.25,2.8
A048,0,1,50,6,4,2,2.2,2.75,2.5,3.5,3,3.6,2.75,3
A049,0,1,29,3,3,4,3.2,2.75,2.25,2.75,2.5,3.4,4.25,2.2
A050,0,0,28,2,2,2,2.4,2.5,3.25,4,4,3.2,4,2.4
A051,0,0,46,6,2,2,3,2.75,2.75,3,3,3,3.5,2.8
A052,0,0,37,4,3,2,5,1.75,3,3,3,4.6,5,3
A053,0,1,39,5,2,2,3.4,3,3.25,3,3,2,4,3.2
A054,0,1,47,3,2,2,1.6,3.25,3.75,4,3.25,2,4.5,4
A055,0,1,49,6,2,2,4.4,2.5,3,3,3,1.8,3.75,3.2
A056,0,0,30,5,3,4,3.8,2.25,2.5,3.25,3.25,2.8,4.5,2.6
A057,0,1,44,6,3,2,3,2.75,3,3,3,2.8,4,3.2
A058,0,1,44,6,3,2,3.2,3,2,3.25,4,3,3.5,4
A059,0,1,46,6,3,3,3,2.75,3.25,3,3,3,3.5,3.2
A060,0,1,49,6,3,2,2.6,2.5,2.5,2.75,2.25,3.2,3,3.6
A061,0,1,50,6,4,2,2.4,3,1.5,3.75,3.5,3.4,3.75,3.8
A062,0,1,40,6,3,2,3,2.5,3.5,3.25,3.5,3.6,3.5,3.8
A063,0,0,38,6,2,2,2.4,2.75,3.75,3.5,3.75,3.4,3.25,3.8
A064,0,1,48,2,2,2,3,2.25,3.25,3.75,3.75,2.4,3.5,3.4
A065,0,1,47,2,2,2,3.2,2.25,3.75,3.75,3.5,2.8,3.75,2.6
A066,0,1,38,3,3,2,2.4,2,4.25,4,3.75,3.2,3.25,3.6
A067,0,1,45,4,3,2,3.6,2.75,3.25,4,3.25,2,3.25,3.8
A068,0,1,41,4,2,2,3,2,2.5,2.25,2.5,3,4.25,2.8
