index,gender,spouse,age,nfamily,edu,debt,equity,dep
1,1,2,G2,4,6,0,Q3,1
2,1,2,G2,4,6,1700,Q4,1
3,1,2,G2,3,6,2000,Q5,3
4,1,2,G4,6,6,15110,Q4,1
5,2,3,G5,2,3,7000,Q5,1
6,1,2,G5,2,6,100,Q3,1
7,1,2,G5,3,4,0,Q1,1
8,1,2,G5,3,4,20100,Q4,1
9,1,2,G5,2,4,0,Q4,2
10,1,2,G5,4,4,10860,Q2,1
11,1,2,G3,4,4,12000,Q4,1
12,1,2,G2,3,6,12000,Q3,1
13,2,3,G5,2,2,0,Q1,1
14,1,2,G4,4,6,35440,Q2,1
15,1,2,G5,2,6,54000,Q5,1
16,1,4,G5,1,5,0,Q1,1
17,1,2,G5,4,4,4000,Q4,1
18,1,1,G1,1,6,0,Q1,1
19,2,3,G5,1,2,0,Q1,1
20,1,4,G5,1,2,17000,Q3,1
21,2,1,G1,1,5,3500,Q1,1
22,2,3,G5,1,1,0,Q1,1
23,1,2,G4,3,1,0,Q5,1
24,1,2,G4,2,4,6000,Q4,1
25,1,2,G2,3,5,19565,Q5,8
26,1,2,G3,5,7,0,Q5,8
27,1,2,G5,2,4,0,Q3,1
28,1,2,G4,4,5,29000,Q5,8
29,2,2,G4,3,3,79900,Q5,1
30,2,2,G4,3,3,370,Q3,1
31,2,4,G3,2,4,3337,Q1,1
32,1,2,G5,2,2,4900,Q3,1
33,1,2,G2,3,6,2000,Q2,1
34,2,2,G4,2,2,0,Q1,1
35,1,2,G3,5,6,0,Q5,1
36,1,2,G3,3,4,14679,Q3,1
37,2,4,G3,3,4,0,Q3,1
38,1,1,G1,1,6,3000,Q1,1
39,1,2,G3,4,6,18280,Q5,7
40,2,1,G1,1,6,0,Q1,1
41,2,1,G1,2,6,0,Q3,1
42,1,2,G3,3,7,11000,Q5,1
43,1,2,G5,2,3,3000,Q3,1
44,1,2,G4,4,2,2000,Q3,1
45,2,1,G5,1,7,0,Q5,1
46,2,3,G5,1,1,0,Q2,1
47,2,3,G5,1,2,0,Q1,1
48,1,2,G4,5,4,380,Q2,7
49,1,2,G3,5,6,2000,Q4,1
50,1,2,G5,3,4,0,Q5,1
51,1,2,G5,2,5,1000,Q5,1
52,2,4,G5,1,3,200,Q4,1
53,1,2,G5,3,6,17000,Q3,3
54,1,1,G2,2,6,6329,Q4,1
55,1,2,G5,2,4,38068,Q4,1
56,1,2,G3,4,7,3670,Q5,4
57,2,3,G5,1,2,20,Q1,1
58,1,2,G4,4,4,700,Q2,5
59,1,2,G5,3,4,3900,Q5,1
60,2,2,G4,3,6,9265,Q3,1
61,1,2,G5,2,4,2100,Q3,1
62,1,2,G2,4,4,6904,Q2,1
63,1,2,G5,2,4,700,Q3,1
64,1,2,G5,2,3,8000,Q4,1
65,2,1,G2,2,4,7214,Q1,1
66,2,4,G4,2,4,0,Q1,1
67,2,2,G5,2,2,860,Q2,2
68,2,2,G5,2,2,1000,Q5,1
69,2,1,G1,1,4,5,Q1,1
70,1,2,G2,3,6,18000,Q3,1
71,2,2,G3,3,6,2000,Q5,1
72,2,3,G4,3,4,5000,Q4,1
73,1,2,G3,2,6,15000,Q3,1
74,1,4,G4,1,2,0,Q1,1
75,1,4,G3,3,6,20000,Q4,1
76,1,2,G5,3,1,2000,Q5,1
77,1,1,G2,2,4,0,Q4,1
78,1,2,G5,2,3,12560,Q4,1
79,1,2,G5,3,4,2000,Q4,1
80,1,2,G2,3,7,15350,Q3,1
81,2,3,G5,1,2,30,Q3,3
82,2,4,G3,3,3,7000,Q1,1
83,1,2,G4,3,5,22520,Q3,1
84,1,2,G3,2,5,21120,Q3,1
85,1,2,G3,5,5,0,Q4,1
86,2,2,G4,3,4,0,Q4,1
87,1,1,G2,1,6,14000,Q1,1
88,2,1,G1,1,6,7000,Q1,1
89,2,1,G3,1,3,2000,Q1,1
90,2,3,G5,1,1,0,Q1,1
91,1,4,G3,3,6,9500,Q3,1
92,2,2,G4,3,5,30,Q1,1
93,2,3,G5,1,6,19200,Q5,1
94,1,2,G3,4,4,1840,Q2,1
95,2,3,G4,4,7,5000,Q5,8
96,1,4,G5,1,4,0,Q2,1
97,1,2,G4,4,7,17000,Q5,2
98,1,2,G5,4,3,1350,Q3,1
99,1,2,G3,3,6,8000,Q2,1
100,1,2,G5,2,2,8260,Q3,1
101,1,2,G3,3,5,0,Q3,1
102,1,2,G5,4,6,18000,Q3,1
103,1,2,G4,5,2,10500,Q3,1
104,1,2,G4,3,5,38000,Q5,1
105,1,3,G5,1,1,0,Q1,1
106,1,2,G4,3,4,0,Q4,3
107,1,2,G5,2,4,0,Q4,1
108,1,2,G2,4,6,4000,Q4,1
109,1,1,G3,1,6,0,Q5,8
110,1,2,G2,2,4,1540,Q1,1
111,2,3,G5,1,2,0,Q1,1
112,2,4,G4,1,3,2066,Q1,1
113,2,4,G4,2,4,3200,Q3,1
114,1,3,G4,2,6,0,Q1,1
115,1,1,G2,1,7,100,Q2,1
116,2,4,G4,2,6,0,Q5,8
117,1,2,G4,5,7,40400,Q5,7
118,1,1,G3,1,4,0,Q1,1
119,1,2,G4,3,4,930,Q3,1
120,2,3,G5,1,6,50000,Q2,1
121,1,2,G2,3,5,7000,Q2,1
122,2,3,G5,1,1,0,Q1,1
123,1,3,G3,3,4,0,Q1,1
124,1,2,G2,3,6,19170,Q4,1
125,2,3,G5,1,2,9800,Q2,1
126,1,2,G4,3,6,21000,Q4,1
127,1,2,G5,2,3,0,Q2,1
128,1,2,G4,3,4,7960,Q2,5
129,2,4,G3,3,6,240,Q1,8
130,1,2,G5,3,2,2318,Q2,1
131,2,4,G3,1,4,7400,Q2,1
132,1,3,G5,2,5,3600,Q2,1
133,1,2,G5,2,3,0,Q5,1
134,2,1,G2,1,5,30,Q1,1
135,2,1,G1,1,5,1600,Q1,1
136,1,2,G5,2,2,3060,Q1,1
137,1,2,G4,4,5,4000,Q3,1
138,1,1,G2,1,4,300,Q1,5
139,1,2,G3,3,5,24700,Q3,1
140,1,2,G4,3,4,32070,Q5,1
141,2,4,G5,1,5,17369,Q3,1
142,1,2,G3,5,6,500,Q5,1
143,1,2,G4,4,6,2000,Q4,7
144,2,3,G4,1,3,0,Q2,1
145,1,2,G4,2,2,0,Q3,1
146,1,2,G5,3,3,11042,Q2,1
147,1,2,G5,2,3,75000,Q5,1
148,1,4,G3,2,4,2000,Q1,1
149,1,2,G5,2,3,0,Q2,1
150,1,2,G4,4,4,1500,Q2,1
151,1,2,G4,4,7,0,Q4,1
152,1,2,G4,3,5,5000,Q5,3
153,1,2,G4,4,6,12000,Q3,1
154,2,3,G5,1,4,0,Q1,2
155,1,2,G2,4,6,16009,Q4,1
156,2,1,G2,1,6,0,Q1,1
157,1,2,G5,3,4,0,Q2,1
158,1,1,G2,1,6,0,Q2,1
159,1,2,G4,4,4,10000,Q4,1
160,1,2,G5,2,7,38000,Q4,7
161,2,1,G1,1,5,3600,Q3,1
162,1,2,G5,2,1,50,Q5,1
163,2,4,G4,3,5,260,Q5,1
164,2,3,G5,1,2,0,Q1,1
165,1,2,G2,2,6,15000,Q4,1
166,1,2,G3,2,5,0,Q3,1
167,1,2,G2,3,6,9850,Q5,1
168,1,2,G5,3,7,91100,Q4,1
169,1,2,G5,3,6,0,Q5,2
170,2,1,G5,1,4,2851,Q3,1
171,1,2,G3,5,6,0,Q4,7
172,1,2,G4,4,4,20280,Q3,1
173,1,4,G5,1,4,800,Q2,1
174,1,2,G3,4,6,15304,Q4,1
175,1,2,G4,5,6,14300,Q5,4
176,1,1,G3,1,6,0,Q1,7
177,1,2,G3,4,6,1899,Q5,8
178,2,3,G5,1,3,2000,Q1,1
179,1,2,G3,4,5,0,Q5,2
180,1,2,G2,4,6,0,Q5,1
181,1,2,G4,4,4,700,Q1,1
182,1,2,G3,4,4,0,Q2,1
183,1,2,G3,4,7,29360,Q4,1
184,1,2,G3,4,4,50,Q1,1
185,1,2,G3,5,4,45000,Q5,1
186,1,2,G3,4,6,0,Q5,2
187,1,4,G5,1,2,0,Q2,3
188,2,2,G2,2,4,0,Q3,2
189,1,1,G1,1,6,320,Q2,1
190,1,2,G5,2,4,10,Q5,1
191,1,2,G3,5,4,30000,Q4,1
192,2,3,G5,1,1,200,Q1,1
193,1,2,G5,2,4,5000,Q3,1
194,1,2,G4,3,4,0,Q4,1
195,1,2,G3,4,6,14300,Q4,4
196,2,2,G5,3,3,1100,Q5,1
197,1,2,G5,3,4,2500,Q5,1
198,1,2,G3,4,4,100,Q2,1
199,1,2,G2,3,6,910,Q3,1
200,2,3,G5,1,2,6650,Q1,1
201,2,4,G4,3,3,2500,Q3,1
202,2,1,G2,3,7,9000,Q3,1
203,1,2,G4,4,6,10400,Q5,7
204,2,1,G4,1,4,0,Q4,1
205,1,2,G4,4,4,1250,Q3,1
206,1,2,G4,4,4,0,Q4,1
207,1,2,G3,4,4,2000,Q2,1
208,1,2,G3,4,7,25000,Q5,1
209,2,3,G5,1,1,0,Q1,1
210,1,2,G5,4,4,16980,Q5,1
211,1,2,G5,3,4,128500,Q4,1
212,2,1,G3,1,4,1700,Q2,1
213,2,1,G5,1,4,0,Q1,1
214,1,2,G5,5,6,12000,Q5,5
215,2,3,G5,1,2,0,Q2,3
