V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164
2018,10200261,P,1127.907923,,2255.111372,G2,1,2,G1,G2,G2,G2,G1,4,1,G3,2,G,9,79,G5,2,G2,2,5,G4,G4,G2,G1,G2,Q1,,Q1,G1,Q1,,Q1,Q1,,Q1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,2,723,140,0,1,442,140,582,722,662,240,200,0,120,12,40,50,663,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,80,60,150,4,,,
2018,10200371,P,2223.775062,,4515.267119,G1,1,4,G2,G2,G2,G2,G2,5,1,G4,2,G,7,55,G4,3,G3,2,1,G1,G1,G2,G2,G1,Q5,,Q5,G6,Q4,,Q4,Q5,,Q5,59022,8082,8082,7082,1000,0,50940,50000,23000,27000,0,940,940,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,500,0,0,0,0,0,500,0,500,0,0,0,0,,,,,,0,500,0,0,0,0,0,8371,8100,271,58522,29619,1293,28000,326,0,0,0,27567,5345,780,300,2000,730,540,420,575,7397,2052,536,995,100,150,271,,,,,,,,,,,,,,,,,,,,,,1,70,150,200,4,,,
2018,10201191,P,701.0900305,,1423.938632,G1,1,4,G2,G2,G2,G2,G2,6,1,G4,2,K,1,54,G4,1,G1,2,1,G1,G1,G3,G2,G1,Q5,,Q5,G6,Q5,,Q5,Q5,,Q5,222550,6050,6050,6050,0,0,216500,216000,80000,136000,0,500,500,0,0,0,121200,16200,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,,,,,,15000,0,0,0,15000,0,1000,0,0,0,0,0,1000,0,1000,0,0,0,0,,,,,,1000,0,0,200,0,0,105000,3170,2200,970,101350,18180,15159,3000,21,0,0,0,12047,9200,600,500,4800,350,500,250,2200,15333,6133,2868,835,1100,360,970,,,,,,,,,,,,,,,,,,,,,,1,58,300,500,3,,,
2018,10201211,P,1140.450899,,2280.18949,G2,2,1,G1,G2,G2,G2,G2,1,,G1,1,,,83,G5,7,G4,3,2,G2,G2,G2,G1,G2,Q1,,Q1,G1,Q1,,Q1,Q1,,Q2,4516,4516,16,16,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,4516,442,0,0,22,240,180,420,441,447,280,51,0,27,20,24,45,448,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2,,0,0,,56,4,1
2018,10201241,P,1436.605371,,2872.31346,G2,1,4,G2,G2,G2,G2,G2,6,1,G4,2,C,5,41,G3,1,G1,2,1,G1,G1,G2,G2,G1,Q4,,Q4,G5,Q5,,Q5,Q5,,Q5,79011,13911,13911,13911,0,0,65100,62500,50000,12500,0,2600,2500,100,100,0,450,200,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,200,0,0,250,10000,10000,0,78561,7562,7233,0,329,0,0,0,6361,2764,600,276,600,120,360,84,724,3965,1201,541,510,60,90,0,,,,,,,,,,,,,,,,,,,,,,1,60,300,400,2,,,
2018,10201331,P,2394.075505,,4861.053887,G1,1,4,G2,G2,G2,G2,G2,6,1,G4,2,J,2,46,G3,1,G1,2,1,G1,G1,G2,G2,G1,Q5,,Q5,G6,Q5,,Q5,Q5,,Q5,105752,6502,6502,6502,0,0,99250,99000,44000,43000,12000,250,200,50,50,0,43200,41000,38000,0,38000,0,0,0,0,0,17000,0,0,21000,0,,,,,,21000,17000,0,0,38000,0,3000,0,3000,0,0,0,0,0,3000,0,0,0,0,,,,,,0,3000,0,0,0,0,2200,1521,150,1371,62552,10867,7197,1369,2301,0,0,0,8441,4570,600,400,2000,250,250,300,770,6996,2426,416,639,0,0,1371,,,,,,,,,,,,,,,,,,,,,,1,60,300,350,2,,,
2018,10201361,P,2374.358583,,4821.019637,G1,2,2,G2,G2,G2,G2,G1,5,1,G4,2,P,4,65,G5,3,G3,3,3,G3,G3,G1,G2,G1,Q2,,Q2,G2,Q4,,Q4,Q3,,Q3,50000,8400,6400,1400,5000,2000,41600,37000,0,37000,0,4600,600,4000,1500,2500,30200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,200,0,0,30000,3490,3400,90,19800,2221,0,2000,1,220,0,220,1969,2500,600,120,120,240,240,240,940,2752,252,57,55,0,50,90,,,,,,,,,,,,,,,,,,,,,,1,70,200,300,3,,,
2018,10202191,P,2450.840354,,4977.743382,G1,1,4,G2,G2,G2,G2,G2,4,1,G3,2,,,53,G4,7,G4,2,1,G1,G1,G2,G1,G1,Q4,,Q4,G4,Q3,,Q3,Q3,,Q3,27540,2690,2690,2690,0,0,24850,24600,24600,0,0,250,250,0,0,0,10250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,250,0,0,10000,0,0,0,17290,5626,4800,0,826,0,0,0,4846,3792,950,300,1300,50,300,60,832,4572,780,132,498,150,0,0,,,,,,,,,,,,,,,,,,,,,,1,65,220,300,5,,,
2018,10202311,P,1565.876127,,3179.435327,G1,2,3,G2,G2,G1,G2,G2,4,1,G3,2,M,3,46,G3,1,G1,4,3,G3,G3,G1,G2,G1,Q1,,Q1,G2,Q1,,Q1,Q1,,Q1,1657,1657,182,182,0,1475,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,50,0,0,0,400,400,0,1607,1100,818,21,21,240,0,240,1011,1646,270,230,420,10,170,216,330,1735,89,4,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,70,200,200,4,,,
2018,10203171,P,1611.086537,,3272.1737,G1,2,1,G1,G2,G2,G2,G2,3,1,G2,1,G,5,70,G5,3,G3,3,1,G1,G1,G3,G1,G1,Q2,,Q2,G3,Q5,,Q5,Q5,,Q5,64304,3304,3304,3304,0,0,61000,61000,61000,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,2800,0,0,0,61504,3194,0,1200,1609,285,100,385,2984,756,240,108,0,36,12,60,300,966,210,44,166,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,76,100,150,3,,,
