ID,gender,age,area,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3
1,1,38,1,3,1,1,5,7,5,420,300,60
2,2,32,2,4,4,2,7,9,3,300,270,360
3,2,28,3,2,1,2,6,7,5,180,30,15
4,1,28,1,2,3,2,5,6,3,242,160,210
5,1,35,1,3,1,1,5,5,4,300,300,120
6,1,39,1,2,4,1,6,8,2,300,300,600
7,1,32,1,2,1,2,6,8,5,300,180,300
8,1,26,5,2,4,2,2,3,3,240,120,120
9,2,31,1,1,1,2,5,6,5,120,120,300
10,1,26,2,3,3,1,6,9,0,271,130,0
11,1,27,1,2,3,2,7,8,5,270,180,180
12,1,52,3,2,3,3,6,6,8,600,900,1200
13,1,36,4,4,4,3,5,7,8,300,180,120
14,1,33,4,4,2,3,1,1,2,600,600,60
15,1,38,1,1,2,3,6,7,4,290,60,90
16,1,31,1,3,1,2,7,10,5,2400,3600,3600
17,1,24,2,4,4,1,5,5,5,1200,1800,0
18,1,31,1,2,1,1,6,5,2,600,300,300
19,1,25,2,4,4,1,8,9,5,370,90,200
20,2,30,2,2,2,1,4,3,7,300,210,210
21,1,37,1,4,1,2,5,6,4,210,240,30
22,2,37,1,4,4,1,8,10,5,190,160,90
23,1,34,2,4,2,2,6,9,3,180,90,240
24,1,28,1,1,1,1,6,8,5,207,173,276
25,2,25,4,4,4,1,5,5,3,420,420,180
26,1,31,1,4,2,3,6,7,9,120,180,0
27,1,35,1,3,1,2,7,7,5,180,180,180
28,1,38,5,1,4,2,6,9,7,240,90,60
29,2,41,1,3,2,3,5,6,10,300,240,120
30,2,47,1,3,1,2,6,6,5,180,300,120
31,2,32,1,2,2,2,7,8,3,310,200,30
32,1,34,1,3,4,1,6,7,5,260,255,130
33,1,49,5,4,2,3,6,7,8,310,270,210
34,1,33,1,3,1,2,4,5,5,320,250,90
35,1,27,3,3,4,1,6,8,6,310,380,430
36,1,26,2,3,2,3,6,7,8,180,180,300
37,1,27,1,3,4,1,5,7,2,180,300,270
38,1,46,1,4,2,2,5,9,5,220,190,90
39,2,25,1,1,3,2,8,10,5,180,60,180
40,2,25,2,2,1,1,5,5,3,180,300,300
41,2,18,2,4,1,1,8,7,3,250,200,330
42,2,23,2,4,2,2,5,8,8,600,300,300
43,1,36,2,4,2,3,8,6,9,620,470,335
44,1,27,5,4,2,3,6,8,8,270,150,90
45,2,23,6,3,3,3,4,2,5,300,240,180
46,2,21,3,3,4,2,5,9,7,270,270,190
47,1,28,2,4,3,1,5,4,4,300,180,180
48,1,26,3,3,3,1,7,6,6,240,300,240
49,1,27,3,3,1,3,5,5,5,290,100,90
50,1,26,4,1,3,3,6,8,10,305,300,420
51,2,21,6,2,3,1,6,6,4,210,120,60
52,2,44,5,3,4,3,6,6,5,360,300,450
53,2,21,6,2,3,1,5,5,2,240,180,60
54,2,28,6,2,3,1,5,7,6,300,190,90
55,2,21,2,2,3,1,6,6,5,300,300,180
56,2,37,1,2,3,2,1,10,0,300,180,60
57,1,25,1,3,4,3,8,8,7,480,360,420
58,1,21,6,4,4,3,5,7,7,450,420,300
59,2,36,3,2,3,2,5,10,8,390,300,300
60,2,31,3,3,4,3,5,10,8,600,420,300
61,2,23,6,3,3,3,5,8,6,240,120,180
62,1,36,1,2,4,3,6,5,5,420,240,300
63,1,25,6,2,2,3,6,8,7,180,180,30
64,1,24,6,4,4,2,5,5,7,2400,1800,1200
65,1,21,3,3,2,2,1,10,1,300,600,300
66,2,23,6,2,4,1,6,8,3,300,300,180
67,2,21,2,4,2,3,5,8,10,780,900,600
68,2,26,6,2,1,2,6,8,5,330,300,180
69,2,37,4,3,4,3,6,7,9,180,120,240
70,2,42,6,2,3,1,5,5,5,180,300,240
71,1,24,3,4,3,2,5,9,4,660,690,300
72,1,26,3,1,4,3,5,7,8,720,930,60
73,2,22,2,4,4,1,6,10,10,660,600,960
74,1,27,5,4,2,2,6,8,7,750,900,1200
75,2,20,3,4,2,1,5,5,5,330,60,60
76,1,25,3,4,4,3,5,9,7,600,600,300
77,2,24,5,2,1,3,8,7,5,420,300,300
78,1,26,3,2,4,3,5,3,4,360,600,60
79,2,21,3,4,4,1,5,7,5,800,485,181
80,1,25,3,2,1,3,6,7,8,160,60,30
81,2,22,3,2,1,3,5,7,6,340,110,60
82,1,24,3,4,2,1,1,10,5,420,300,120
83,1,24,1,3,1,1,4,4,2,120,100,30
84,1,27,3,4,2,1,5,4,3,360,330,315
85,1,27,3,4,2,3,5,8,10,300,240,180
86,1,25,5,3,4,1,5,6,2,300,80,30
87,1,25,3,2,1,2,8,9,3,300,300,60
88,2,21,3,2,4,2,1,10,5,420,300,120
89,2,23,1,2,1,2,9,10,6,180,60,15
90,2,23,5,3,2,1,8,7,6,180,180,20
91,1,26,1,1,1,3,7,7,5,900,900,10
92,1,27,2,1,4,1,5,7,4,180,210,15
93,2,28,1,1,1,1,8,8,7,300,180,60
94,1,26,1,2,1,2,5,10,6,630,500,670
95,1,27,1,3,4,1,5,6,4,600,240,60
96,1,34,2,3,2,3,7,6.5,7.5,120,45,30
97,1,28,1,3,4,2,5,7,6,210,70,90
98,1,26,1,3,2,2,5,9,6,180,140,155
99,2,30,1,4,2,1,8,8,8,180,180,180
100,2,23,1,2,3,1,5,7,5,190,180,175
101,1,38,2,2,2,1,5,8,7,190,250,270
102,1,25,1,2,4,3,6,7,6,195,160,140
103,2,25,1,2,1,3,5,8,10,120,120,120
104,2,25,1,3,3,2,5,10,7,300,180,330
105,1,25,5,4,3,3,7,7,6,130,130,180
106,1,29,2,2,2,3,5,6,7,420,300,360
107,2,22,1,2,1,3,5,6,8,300,190,320
108,2,20,2,3,2,2,6,10,7,120,90,60
109,2,25,1,3,3,2,6,10,7,300,180,330
110,2,22,1,1,1,2,5,8,4,180,120,30
111,1,30,2,3,1,1,5,6,4,300,240,120
112,2,26,1,3,4,1,6,8,7,300,310,180
113,1,28,1,1,1,3,9,10,8,150,150,120
114,2,26,1,2,2,1,6,7,4,300,300,60
115,2,23,2,2,1,1,6,6,3,360,480,10
116,2,26,2,2,1,3,8,6,7,120,120,60
117,1,28,1,2,1,2,6,9,7,240,200,150
118,2,26,1,1,4,1,8,7,5,300,360,180
119,1,26,1,2,4,3,8,9,7,300,360,180
120,2,23,5,4,2,3,9.8,9.7,9.8,120,120,60
121,1,26,1,2,1,1,5,10,7,150,150,110
122,2,25,1,2,4,2,6,8,5,180,180,90
123,1,29,2,3,4,3,6,6,9,210,230,60
124,1,27,2,2,2,3,8,8,8,210,180,150
125,2,25,6,1,1,3,5,7,10,300,300,120
126,2,25,1,2,3,3,5,9,8,180,180,180
127,1,27,1,1,1,3,7,5,3,300,300,10
128,1,27,4,1,3,2,6,6,5,240,300,20
129,1,26,1,3,2,3,5,7,6,300,360,180
130,2,26,1,1,1,1,9,9,8,120,120,30
131,2,25,3,2,4,1,8,9,5,180,240,200
132,1,28,1,2,1,2,5,9,7,160,150,130
133,1,26,5,2,1,1,8,7,6,300,240,180
134,2,26,2,3,1,3,6.5,6.5,8,300,350,280
135,1,29,1,3,1,3,6,6,5,300,300,120
136,2,35,1,3,2,3,5,6,9,480,420,300
137,2,28,1,1,1,1,6,6,6,300,300,180
138,1,30,1,3,3,3,4,4,7,600,600,120
139,1,31,1,2,1,2,5,4,3,120,120,60
140,2,26,2,1,1,3,7,8,7,480,600,7
141,2,26,2,2,1,3,5,8,8,300,300,120
142,1,27,2,2,1,3,4,6,5,300,600,180
143,1,28,1,3,2,1,8,7,7,120,130,60
144,1,29,1,3,3,1,8,7,6,90,90,30
145,1,26,1,2,1,1,5,8,3,200,120,180
146,1,28,1,1,2,2,9,8,5,225,180,60
147,1,34,1,4,1,3,8,7,6,1230,600,60
148,2,35,1,4,2,2,7,7,4,300,240,60
149,1,26,3,4,4,2,7,6,5,190,140,20
150,1,38,1,3,4,1,5,8,5,180,180,60
151,1,34,2,4,3,3,9,8,5,510,450,30
152,2,32,2,2,4,2,6,8,5,420,300,180
153,1,29,1,4,1,2,7,8,5,660,600,300
154,2,23,2,3,1,2,5,8,2,240,180,10
155,2,24,1,2,3,1,6,8,5,360,300,120
156,1,28,1,3,2,1,8,6,5,180,240,60
157,2,22,1,2,1,2,3.5,5,3,210,240,170
158,2,23,1,2,3,3,7,6,7,180,120,120
159,2,23,2,2,1,3,8,9,8,120,60,60
160,2,24,1,2,4,3,6,6,7,120,120,120
161,1,29,1,1,2,2,8,7,1,340,350,200
162,1,27,4,4,3,2,7,8,5,300,120,60
163,2,27,2,2,1,1,8,7,5,180,60,30
164,2,39,1,2,3,2,8,9,6,360,310,422
165,1,31,1,2,4,3,8,8,7,600,570,30
166,1,28,1,2,2,1,8,8,6,330,240,180
167,1,25,2,3,3,2,3,6,1,60,40,10
168,2,28,1,1,4,3,7,7,6,180,240,90
169,1,29,2,1,4,1,5,4,4,90,90,60
170,2,25,1,2,1,1,8,6,5,120,90,90
171,2,24,2,2,2,1,8,7,4,150,120,90
172,1,28,1,2,4,3,8,7,5,180,240,60
173,1,32,2,4,3,3,5,5,8,600,720,720
174,2,33,1,3,3,3,8,8,7,180,110,90
175,2,38,2,4,2,3,5,5,7,180,180,60
176,1,40,1,4,2,3,5,7,9,300,240,60
177,1,33,1,1,1,2,7,8,4,90,150,210
178,2,28,1,3,4,3,7,8,7,300,180,180
179,2,28,1,3,4,2,3,5,2,180,120,90
180,1,27,1,4,4,1,9,7,5,330,300,180
181,1,32,5,4,4,1,9,7,6,300,120,30
182,2,33,5,1,4,1,5,5,5,150,120,120
183,1,32,5,4,1,1,7,6,5,150,120,120
184,2,30,5,3,1,1,7,6,7,150,120,120
185,1,28,1,2,3,1,6,6,4,300,300,180
186,1,28,1,3,1,3,5,6,8,180,180,180
187,2,27,1,1,1,2,8,9,6,450,390,175
188,2,28,1,1,2,1,8,6,6,300,180,300
189,1,26,1,4,1,3,4,5,5,90,30,60
190,1,29,5,4,4,3,8,7,6,130,110,50
191,1,35,2,4,4,3,7,5,10,440,310,150
192,1,30,1,2,4,1,9,9,7,300,300,240
193,1,28,2,1,2,3,6,7,5,240,180,120
194,2,26,1,2,1,2,8,8,6,180,180,180
195,2,25,5,4,3,3,7,6,5,660,600,300
196,1,29,5,2,4,1,10,9,7,60,60,40
197,2,28,5,3,3,2,7,8,6,600,600,30
198,1,35,5,4,1,1,5,5,5,240,240,60
199,1,41,5,4,1,3,5,5,7,210,190,160
200,1,34,5,4,3,3,7,3,5,70,125,10
201,2,33,5,2,1,1,5,5,5,60,120,10
202,2,28,1,2,1,1,8,8,5,60,90,50
203,1,26,2,3,3,3,6,6,4,180,180,120
204,1,27,1,1,1,1,8,7,6,240,180,150
205,1,29,5,3,2,3,7,7,9,180,180,180
206,1,40,1,3,3,1,10,10,9,180,180,60
207,2,29,1,2,1,2,7,9,8,300,300,300
208,2,25,1,1,2,1,7,7,6,180,180,120
