id,edu,age,debt,equity,income,slack,cs
10000182,4,G4,0,13680,2977,2744,3198
10000192,4,G1,400,1120,971,878,1371
10100192,6,G2,2050,22890,10689,9238,3350
10100232,2,G5,0,1315,95,78,1031
10100262,3,G4,0,9707,793,786,452
10100342,4,G5,200,21810,3923,3665,2250
10100372,7,G4,78596,183662,7319,6735,3286
10101172,4,G4,0,51230,8403,7350,2538
10700331,2,G5,0,17600,1702,1632,1310
10701101,4,G3,0,17970,476,NA,2239
10800161,6,G1,0,18870,5037,4351,2340
10800181,7,G3,0,204488,10085,8184,3617
10800221,6,G2,0,32390,6370,5473,1979
10800271,7,G5,20000,365000,7998,6810,6270
10800321,4,G4,3560,NA,570,460,720
10900121,4,G3,3300,25710,1572,1010,794
10900141,5,G3,24000,81441,7257,6442,5440
10900171,5,G3,30,9820,3112,2830,880
10900211,4,G4,1100,2470,5802,5089,2766
10900251,6,G1,3230,12185,4778,3778,1308
10900291,3,G5,0,15900,1673,1652,1216
10900351,2,G5,67300,33300,7910,7101,2481
10900371,4,G3,2182,NA,4088,4087,1844
11000262,4,G4,0,9742,4448,4109,2470
11000292,4,G3,5500,99820,11686,10167,7490
11000302,6,G4,46900,78621,12133,8895,5110
11100102,4,G4,1300,5030,4272,4058,3140
11100192,6,G2,20000,13320,7000,6097,3136
11100212,2,G5,1200,33357,NA,3288,1795
11100252,6,G4,16206,39014,8369,6151,3764
11100342,7,G2,33000,60140,11705,9324,4423
11700271,2,G5,900,2800,2140,1751,1198
11700371,3,G5,0,5500,1511,1508,1012
11800201,6,G4,11900,10481,9306,8059,3430
11800231,5,G3,33900,42053,6327,4495,4240
11800271,6,G2,5000,20220,4157,3359,1356
11800381,4,G4,0,16880,2441,2346,1310
11900151,4,G5,0,9640,922,879,870
11900171,2,G5,14100,48511,15125,14546,3547
11900211,3,G4,3290,50886,2312,2141,1810
11900221,2,G5,0,626,878,878,779
11900251,4,G4,10800,NA,5203,4993,934
11900271,4,G3,0,23681,3251,2716,2070
11900371,6,G5,0,308800,11149,9724,2690
11900391,1,G5,0,34800,1493,1455,1450
12000132,4,G3,4040,5871,2630,2497,2600
12000252,4,G4,0,27860,4502,NA,1900
12000372,6,G5,1900,12830,2298,2089,890
12100132,6,G3,20000,29295,4212,3182,2876
12700101,6,G5,9420,121120,945,391,1753
12700231,2,G5,0,19758,3636,3281,1144
12700281,6,G3,7800,8550,4960,4290,2920
12800121,7,G3,0,55625,4207,445,4040
12800181,2,G5,0,20110,4983,4511,920
12800211,4,G3,5350,5998,9999,9204,3720
12800251,5,G5,20000,31600,8968,7445,4478
12900101,6,G3,15700,67730,11586,9013,4650
12900131,6,G5,0,103300,2841,2446,2320
12900241,4,G4,0,7838,1102,941,1620
12900391,5,G3,94400,186440,12784,8610,6140
13000102,7,G4,23565,104389,8744,6187,6080
13000222,4,G3,12820,35139,6162,5557,3611
13000262,4,G3,45520,26001,10013,7760,5916
13000272,5,G1,2700,NA,2552,2342,1417
13000302,3,G5,0,13400,2667,2514,2429
13000382,4,G5,195,8355,1804,1655,1305
13100102,4,G5,0,22200,1625,1476,1268
13100112,4,G4,0,57680,2431,2141,3620
13100152,6,G5,0,223480,8850,5541,4342
13700161,4,G4,7150,16650,8587,7025,3680
13700171,5,G5,0,10,580,579,569
13700251,4,G5,0,35550,5598,4886,2314
13700261,5,G4,660,NA,2570,2533,1817
13700271,6,G3,360,1968,6184,5534,3820
13700351,4,G3,97800,86680,8356,6075,4820
13800101,4,G5,13150,49850,3508,3069,1920
13800111,5,G1,800,4740,4014,3814,2674
13800151,5,G4,4989,18431,6299,5760,4280
13800181,4,G2,689,811,2664,2356,1879
13800221,5,G4,17700,42468,5151,2647,3602
13900101,3,G5,1000,66882,4138,3988,1808
13900211,4,G3,5000,8938,4936,4282,4173
13900341,4,G3,60,14826,3154,2185,2402
14000142,7,G2,14000,1786,10207,7183,3660
14000192,7,G4,27406,60244,8684,6197,4780
14100392,6,G1,1000,5520,3636,3360,981
14700101,7,G3,0,241300,45985,28975,5890
14700131,6,G3,10840,150930,21454,16032,4916
14700151,5,G2,0,20920,4454,3816,1231
14700331,4,G5,173000,99000,6693,1249,3480
14800171,5,G3,0,21580,6338,5209,2762
14800381,6,G4,6880,49820,10530,9480,3500
14800391,7,G5,103320,107730,6175,2493,1470
14900121,4,G5,35040,77115,6494,6052,4010
14900131,4,G4,9500,102320,4546,3656,2340
14900301,7,G3,27840,43345,9257,6650,6056
14900311,7,G4,30500,179651,18254,12015,7567
14900321,6,G5,0,30432,6037,5615,2469
14900381,6,G4,0,65292,9411,8783,2025
14900391,6,G3,8124,41672,4897,4175,4200
15000392,5,G1,4200,704,1756,1653,1520
15700311,4,G5,13000,79855,3226,2322,1770
15800151,5,G4,9600,NA,8928,8184,2360
15800331,4,G2,15784,18042,6183,5046,4130
15800351,4,G3,3750,5440,4254,4000,1432
15900131,2,G5,0,1082,936,935,560
15900151,4,G4,20000,46366,9677,8230,4190
15900311,2,G5,355,5133,3145,2903,2236
15900371,3,G4,4021,24231,2902,2292,1370
15900381,4,G2,6600,NA,4622,4001,3904
16000112,2,G5,0,3000,749,749,540
16000122,6,G2,5000,23884,5638,5172,3804
16000182,6,G4,28000,67372,9751,8065,5120
16000322,6,G3,3500,21820,6792,5862,4677
16000362,6,G5,27530,340870,9466,5190,3874
16100102,6,G2,27700,54450,16624,13003,2312
16100302,4,G4,3180,79580,5118,4305,2484
16700111,6,G4,0,3245,2874,2604,2089
16700361,7,G4,500,27468,6874,5330,3600
16800161,5,G1,8000,3095,792,617,1169
16800311,4,G3,1472,36129,9006,7803,5440
16800351,5,G3,10000,3225,5926,5300,3040
16800381,4,G4,0,1869,946,945,733
16900121,4,G5,0,297,1187,1027,980
16900191,4,G5,5000,195640,8328,7440,1844
17000122,3,G5,9000,308,898,807,544
17000152,6,G4,4000,36560,6611,5668,2376
17000162,7,G2,0,40210,9467,7417,3444
17000192,5,G5,19000,156530,3363,2601,1812
17000302,3,G5,500,6710,3420,3260,2070
17000372,6,G3,0,74892,8993,7330,3370
